"ID","Genotype","site","year","SowingDate","yield_sim"
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","1984","01-jul",3520.47120039096
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","1985","01-jul",3972.6330704208
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","1986","01-jul",3935.12778158759
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","1987","01-jul",3991.42317766115
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","1988","01-jul",1935.47695773841
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","1989","01-jul",2350.93522890654
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","1990","01-jul",3006.3633993735
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","1991","01-jul",1067.16595094771
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","1992","01-jul",3584.02232880942
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","1993","01-jul",4080.82148437153
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","1994","01-jul",2927.58240637629
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","1995","01-jul",3505.0979218668
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","1996","01-jul",3591.42079854776
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","1997","01-jul",2188.75697747752
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","1998","01-jul",2028.5459991145
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","1999","01-jul",3505.49795429554
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","2000","01-jul",892.502663576185
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","2001","01-jul",2224.1791260417
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","2002","01-jul",47.9638371684903
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","2003","01-jul",2328.50000311076
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","2004","01-jul",1169.15941506348
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","2005","01-jul",2137.46509285333
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","2006","01-jul",1908.28475389668
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","2007","01-jul",2333.38432220649
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","2008","01-jul",3438.12415297478
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","2009","01-jul",3468.10338766222
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","2010","01-jul",2579.52009258257
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","2011","01-jul",445.086917840546
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","2012","01-jul",1225.4529851006
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","2013","01-jul",2228.31878079036
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","2014","01-jul",2562.71300505149
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","2015","01-jul",1588.99751545523
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","2016","01-jul",2742.19103595992
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","2017","01-jul",1035.5580944283
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","2018","01-jul",2955.27549291718
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","2019","01-jul",3915.03781270868
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","2020","01-jul",2701.87388580377
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","2021","01-jul",2793.67799227327
"Soybean_Assaria_Cur_01-jul_MG3","Generic_MG3","Assaria","2022","01-jul",0
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","1984","01-jul",3641.89728061923
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","1985","01-jul",3871.0731301808
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","1986","01-jul",4312.26043782949
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","1987","01-jul",4034.62916767493
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","1988","01-jul",1774.27336016259
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","1989","01-jul",2310.91798528326
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","1990","01-jul",2765.94605160234
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","1991","01-jul",860.909372865148
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","1992","01-jul",3568.88295142697
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","1993","01-jul",3845.87770874589
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","1994","01-jul",3845.87770874589
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","1995","01-jul",3416.09116004138
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","1996","01-jul",3817.66983725588
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","1997","01-jul",1940.42752985221
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","1998","01-jul",2144.71972804702
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","1999","01-jul",3275.69577019532
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","2000","01-jul",798.616414397821
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","2001","01-jul",2173.24353710917
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","2002","01-jul",0.0942153366521638
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","2003","01-jul",1741.73913051371
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","2004","01-jul",1741.73913051371
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","2005","01-jul",1932.76277600868
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","2006","01-jul",1722.68945050269
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","2007","01-jul",2481.6228902909
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","2008","01-jul",3318.00842110957
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","2009","01-jul",3101.56105881662
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","2010","01-jul",3101.56105881662
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","2011","01-jul",447.281577766936
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","2012","01-jul",1198.29584372357
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","2013","01-jul",1964.1586361572
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","2014","01-jul",2898.99570313727
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","2015","01-jul",1307.27884564305
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","2016","01-jul",3055.99468219397
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","2017","01-jul",1250.6783148735
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","2018","01-jul",2867.74682321574
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","2019","01-jul",4174.29831661257
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","2020","01-jul",2454.66475625816
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","2021","01-jul",2849.14091520758
"Soybean_Assaria_Cur_01-jul_MG4","Generic_MG4","Assaria","2022","01-jul",0
"Soybean_Assaria_Cur_01-jul_MG5","Generic_MG5","Assaria","1984","01-jul",2840.84813209177
"Soybean_Assaria_Cur_01-jul_MG5","Generic_MG5","Assaria","1985","01-jul",2930.07588097945
"Soybean_Assaria_Cur_01-jul_MG5","Generic_MG5","Assaria","1986","01-jul",3467.44949756881
"Soybean_Assaria_Cur_01-jul_MG5","Generic_MG5","Assaria","1987","01-jul",3467.44949756881
"Soybean_Assaria_Cur_01-jul_MG5","Generic_MG5","Assaria","1988","01-jul",3171.64230583623
"Soybean_Assaria_Cur_01-jul_MG5","Generic_MG5","Assaria","1989","01-jul",1893.36016538308
"Soybean_Assaria_Cur_01-jul_MG5","Generic_MG5","Assaria","1990","01-jul",2316.15568560926
"Soybean_Assaria_Cur_01-jul_MG5","Generic_MG5","Assaria","1991","01-jul",2316.15568560926
"Soybean_Assaria_Cur_01-jul_MG5","Generic_MG5","Assaria","1992","01-jul",2915.64853285896
"Soybean_Assaria_Cur_01-jul_MG5","Generic_MG5","Assaria","1993","01-jul",2915.64853285896
"Soybean_Assaria_Cur_01-jul_MG5","Generic_MG5","Assaria","1994","01-jul",2898.87680595356
"Soybean_Assaria_Cur_01-jul_MG5","Generic_MG5","Assaria","1995","01-jul",2822.79317296986
"Soybean_Assaria_Cur_01-jul_MG5","Generic_MG5","Assaria","1996","01-jul",3139.51329281858
"Soybean_Assaria_Cur_01-jul_MG5","Generic_MG5","Assaria","1997","01-jul",3139.51329281858
"Soybean_Assaria_Cur_01-jul_MG5","Generic_MG5","Assaria","1998","01-jul",2224.23394741541
"Soybean_Assaria_Cur_01-jul_MG5","Generic_MG5","Assaria","1999","01-jul",2653.33368386996
"Soybean_Assaria_Cur_01-jul_MG5","Generic_MG5","Assaria","2000","01-jul",2653.33368386996
"Soybean_Assaria_Cur_01-jul_MG5","Generic_MG5","Assaria","2001","01-jul",1867.79085977601
"Soybean_Assaria_Cur_01-jul_MG5","Generic_MG5","Assaria","2002","01-jul",1867.79085977601
"Soybean_Assaria_Cur_01-jul_MG5","Generic_MG5","Assaria","2003","01-jul",1989.96341402314
"Soybean_Assaria_Cur_01-jul_MG5","Generic_MG5","Assaria","2004","01-jul",1989.98774908517
"Soybean_Assaria_Cur_01-jul_MG5","Generic_MG5","Assaria","2005","01-jul",1609.91434533617
"Soybean_Assaria_Cur_01-jul_MG5","Generic_MG5","Assaria","2006","01-jul",1289.50922853466
"Soybean_Assaria_Cur_01-jul_MG5","Generic_MG5","Assaria","2007","01-jul",2248.77740888045
