"ID","Genotype","site","year","SowingDate","yield_sim"
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2022","01-jul",3201.60214335182
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2023","01-jul",3122.05118821313
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2024","01-jul",3071.46568760384
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2025","01-jul",3046.18195480333
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2026","01-jul",3009.82135017507
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2027","01-jul",2972.39207293992
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2028","01-jul",2881.12926542262
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2029","01-jul",2855.69208862974
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2030","01-jul",2818.96273438326
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2031","01-jul",2782.61040189835
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2032","01-jul",2705.8344114779
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2033","01-jul",2716.10774846184
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2034","01-jul",2650.5820151027
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2035","01-jul",2620.74142232604
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2036","01-jul",2555.34976616296
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2037","01-jul",2569.34844336039
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2038","01-jul",2555.07506767484
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2039","01-jul",2542.21838248917
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2040","01-jul",2505.56821552742
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2041","01-jul",2474.30812322068
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2042","01-jul",2475.5268149581
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2043","01-jul",2477.30807164911
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2044","01-jul",2476.39703767971
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2045","01-jul",2481.07000311425
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2046","01-jul",2482.94399512161
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2047","01-jul",2484.85682483084
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2048","01-jul",2484.1848789474
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2049","01-jul",2460.87644850125
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2050","01-jul",2462.26547057288
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2051","01-jul",2463.91848829274
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2052","01-jul",2435.49654375745
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2053","01-jul",2470.14348950247
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2054","01-jul",2471.47656505328
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2055","01-jul",2472.87889900218
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2056","01-jul",2441.74681672919
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2057","01-jul",2449.08442230007
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2058","01-jul",2450.2866414506
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2059","01-jul",2451.44385462075
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2060","01-jul",2447.36523211025
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2061","01-jul",2453.77108086693
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2062","01-jul",2455.05189480689
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2063","01-jul",2456.25314536264
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2064","01-jul",2429.53404292054
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2065","01-jul",2431.80285506065
"Soybean-Assaria-Fut-01-jul-MG3","Generic_MG3","Assaria","2066","01-jul",2432.96981791923
