"ID","genotype","site","year","population","SowDate","Harvest","CheckpointID","SimulationID","Zone","Clock.Today","Soybean.Phenology.Stage","Soybean.Phenology.CurrentStageName","Soybean.AboveGround.Wt","Yield","Soybean.Grain.Size","Soybean.Grain.Number","Soybean.Total.Wt","Soybean.Leaf.FRGR","Soybean.Leaf.Fw","Soybean.Leaf.Photosynthesis.FT","Soybean.Leaf.Photosynthesis.FW","Soybean.WaterUptake(1)","Soybean.WaterUptake(2)","Soybean.WaterUptake(3)","Soybean.WaterUptake(4)","Soybean.WaterUptake(5)","Soybean.WaterUptake(6)","Soybean.WaterUptake(7)","Soybean.WaterUptake(8)","Soybean.WaterUptake(9)","Soybean.WaterUptake(10)","Date"
"Ass10_MG4_30_01-jun_15-oct","Generic_MG4","Assaria",2010,30,"01-jun","15-oct",1,1,"paddock","2010-07-24 12:00:00",4.05150380953194,"StartFlowering",375.944919682063,0,0,0,513.871694652888,1,1,1,1,1.11036086311924,0.78797285101237,0.577071924872468,0.561287898867609,0.625339575565723,0.599770181912313,0.565704938513888,0.310027834712147,0,0,2010-07-24
"Ass10_MG5_30_01-jun_15-oct","Generic_MG5","Assaria",2010,30,"01-jun","15-oct",1,1,"paddock","2010-08-01 12:00:00",4.03957799861195,"StartFlowering",474.388403835492,0,0,0,648.250639415203,1,0.740101297520278,1,0.740101297520278,1.09487361798339,0.58017007161866,0.457093903046833,0.46312352518245,0.543209158216312,0.539627263717023,0.524318578065239,0.569768195502786,0.486520667758188,0,2010-08-01
"Ass11_MG4_30_06-jun_21-oct","Generic_MG4","Assaria",2011,30,"06-jun","21-oct",1,1,"paddock","2011-08-02 12:00:00",4.01091127527838,"StartFlowering",311.975382090145,0,0,0,417.215016342922,0.695000076293945,0.44528908655634,0.695000076293945,0.44528908655634,0,0.357211741691055,0.4152515563773,0.459870661626431,0.552753079416113,0.569688100968497,0.556390207501509,0.570824445304538,0.109921603858244,0,2011-08-02
"Ass11_MG5_30_06-jun_21-oct","Generic_MG5","Assaria",2011,30,"06-jun","21-oct",1,1,"paddock","2011-08-09 12:00:00",4.03989572663802,"StartFlowering",399.206822848997,0,0,0,536.641784292514,1,0.734839407475311,1,0.734839407475311,1.50022384253,0.282564867760517,0.318845649575842,0.367102992046225,0.462693503218352,0.491063169450679,0.494440815520878,0.545421106735859,0.563717251535642,0.0869328317453948,2011-08-09
"Ass12_MG4_30_01-jun_12-oct","Generic_MG4","Assaria",2012,30,"01-jun","12-oct",1,1,"paddock","2012-07-30 12:00:00",4.06671528065332,"StartFlowering",328.333093108259,0,0,0,438.791545383023,0.889999961853027,0.778762903206767,0.889999961853027,0.778762903206767,0.905429454122891,0.265584124713029,0.339437963415102,0.400083422761458,0.517656505369376,0.544601175431578,0.537045776551381,0.572361284811172,0.307237007029981,0,2012-07-30
"Ass13_MG4_30_11-jun_15-oct","Generic_MG4","Assaria",2013,30,"11-jun","15-oct",1,1,"paddock","2013-08-02 12:00:00",4.03707204972268,"StartFlowering",344.133949604788,0,0,0,468.999266194617,1,1,1,1,1.76607817822914,1.45204965146468,0.697768883570922,0.464834955024339,0.529156201554094,0.520288613583219,0.48764456019543,0.244253384543054,0,0,2013-08-02
"Ass14_MG4_34_20-may_21-oct","Generic_MG4","Assaria",2014,34,"20-may","21-oct",1,1,"paddock","2014-07-15 12:00:00",4.01303726605544,"StartFlowering",432.71027392412,0,0,0,590.940981185984,1,0.673723055653737,1,0.673723055653737,0.371961041524892,0.636453110121974,0.636294771943529,0.602360147854277,0.634670137110653,0.605808134989091,0.573300120483073,0.572789005139915,0.0171744862919154,0,2014-07-15
"Ass15_MG4_34_10-jun_16-oct","Generic_MG4","Assaria",2015,34,"10-jun","16-oct",1,1,"paddock","2015-08-01 12:00:00",4.00332880463037,"StartFlowering",344.162844147835,0,0,0,464.144974175929,1,0.680352889283471,1,0.680352889283471,1.14897464406963,0.508449106748719,0.522933462504019,0.55542415636039,0.636682350991367,0.638974946826541,0.612346510694944,0.244471230313667,0,0,2015-08-01
"Ass15_MG5_34_10-jun_16-oct","Generic_MG5","Assaria",2015,34,"10-jun","16-oct",1,1,"paddock","2015-08-08 12:00:00",4.02241011349008,"StartFlowering",443.423130563135,0,0,0,600.55878875416,1,0.888748591721993,1,0.888748591721993,2.09401715389828,1.14348073890927,0.415242242465357,0.448432436852081,0.537974769328746,0.554571562804352,0.54295721162431,0.572748712413335,0.309045914394001,0,2015-08-08
"Ass16_MG4_38_07-jun_21-oct","Generic_MG4","Assaria",2016,38,"07-jun","21-oct",1,1,"paddock","2016-07-29 12:00:00",4.04621660211481,"StartFlowering",355.476089163617,0,0,0,468.549001863376,1,0.544315270946093,1,0.544315270946093,0.129083926123996,0.35850820021578,0.460058445651612,0.509624020935306,0.608035015742821,0.621786996857543,0.60007341746446,0.316082456206024,0,0,2016-07-29
